X,Y,id,name,highway
-72.7282812,42.8583009,265941162,Town Trail,footway
-72.7282766,42.8583634,265941162,Town Trail,footway
-72.7282692,42.8583924,265941162,Town Trail,footway
-72.7282591,42.8584572,265941162,Town Trail,footway
-72.728247,42.8585251,265941162,Town Trail,footway
-72.7282437,42.8585806,265941162,Town Trail,footway
-72.7282303,42.8587536,265941162,Town Trail,footway
-72.7282169,42.8588839,265941162,Town Trail,footway
-72.7282155,42.8589279,265941162,Town Trail,footway
-72.7281716,42.859053,265941162,Town Trail,footway
-72.7281639,42.8590962,265941162,Town Trail,footway
-72.7281626,42.8591338,265941162,Town Trail,footway
-72.7281585,42.8591579,265941162,Town Trail,footway
-72.7281575,42.8591675,265941162,Town Trail,footway
-72.7282035,42.8592024,265941162,Town Trail,footway
-72.7282108,42.859211,265941162,Town Trail,footway
-72.7282145,42.8592223,265941162,Town Trail,footway
-72.7282095,42.8592383,265941162,Town Trail,footway
-72.7282025,42.8592725,265941162,Town Trail,footway
-72.7281884,42.8593332,265941162,Town Trail,footway
-72.7281803,42.8593956,265941162,Town Trail,footway
-72.7281693,42.8594873,265941162,Town Trail,footway
-72.7281686,42.8595266,265941162,Town Trail,footway
-72.7281696,42.8595615,265941162,Town Trail,footway
-72.7281669,42.859577,265941162,Town Trail,footway
-72.7281696,42.859603,265941162,Town Trail,footway
-72.7281659,42.8596288,265941162,Town Trail,footway
-72.728176,42.8596817,265941162,Town Trail,footway
-72.7281924,42.8597134,265941162,Town Trail,footway
-72.7334666,42.8516436,265942726,Ho Chi Minh Trail,footway
-72.7336795,42.8516196,265942726,Ho Chi Minh Trail,footway
-72.7338297,42.8515724,265942726,Ho Chi Minh Trail,footway
-72.7341033,42.8515488,265942726,Ho Chi Minh Trail,footway
-72.7343608,42.8514701,265942726,Ho Chi Minh Trail,footway
-72.7345754,42.8513246,265942726,Ho Chi Minh Trail,footway
-72.7348221,42.8510729,265942726,Ho Chi Minh Trail,footway
-72.7349187,42.8509982,265942726,Ho Chi Minh Trail,footway
-72.7350528,42.850774,265942726,Ho Chi Minh Trail,footway
-72.7351601,42.8507347,265942726,Ho Chi Minh Trail,footway
-72.7354391,42.8509235,265942726,Ho Chi Minh Trail,footway
-72.7356697,42.8513049,265942726,Ho Chi Minh Trail,footway
-72.7357824,42.8517769,265942726,Ho Chi Minh Trail,footway
-72.7357717,42.8522016,265942726,Ho Chi Minh Trail,footway
-72.7356322,42.8527364,265942726,Ho Chi Minh Trail,footway
-72.7355142,42.8528898,265942726,Ho Chi Minh Trail,footway
-72.7354927,42.8530471,265942726,Ho Chi Minh Trail,footway
-72.7355249,42.8532438,265942726,Ho Chi Minh Trail,footway
-72.7356107,42.8533263,265942726,Ho Chi Minh Trail,footway
-72.7357019,42.8533696,265942726,Ho Chi Minh Trail,footway
-72.7358575,42.8533893,265942726,Ho Chi Minh Trail,footway
-72.7360184,42.8533657,265942726,Ho Chi Minh Trail,footway
-72.7362062,42.8533145,265942726,Ho Chi Minh Trail,footway
