X,Y,name
-72.7341077,42.8332484,Lower Loop
-72.7340728,42.8331678,Lower Loop
-72.7340675,42.8330281,Lower Loop
-72.7340782,42.8328983,Lower Loop
-72.7341131,42.832741,Lower Loop
-72.7341479,42.8325993,Lower Loop
-72.7341399,42.832503,Lower Loop
-72.7341506,42.8324321,Lower Loop
-72.7341506,42.8322728,Lower Loop
-72.7341694,42.8321882,Lower Loop
-72.7341613,42.8321194,Lower Loop
-72.7341613,42.8319758,Lower Loop
-72.7341667,42.8318814,Lower Loop
-72.7341855,42.8317496,Lower Loop
-72.7342177,42.8316926,Lower Loop
-72.7342847,42.8316394,Lower Loop
-72.7343384,42.8315726,Lower Loop
-72.7343786,42.8315077,Lower Loop
-72.7343974,42.831429,Lower Loop
-72.7344242,42.8313129,Lower Loop
-72.7344349,42.8311811,Lower Loop
-72.7344913,42.8310887,Lower Loop
-72.7345556,42.8309726,Lower Loop
-72.7345932,42.8309195,Lower Loop
-72.734612,42.8308094,Lower Loop
-72.7346468,42.8306107,Lower Loop
-72.734679,42.8304868,Lower Loop
-72.7347434,42.8303215,Lower Loop
-72.7347863,42.8301897,Lower Loop
-72.7348507,42.8300422,Lower Loop
-72.7348507,42.8300048,Lower Loop
-72.7348426,42.8299498,Lower Loop
-72.7348587,42.8299006,Lower Loop
-72.7348802,42.8298022,Lower Loop
-72.7349097,42.8297314,Lower Loop
